"","","","","","","","","","","","","","","","","","","","","","","","",""
"Famille","Brand","Jun-08","Jul-08","Aug-08","Sep-08","Oct-08","Nov-08","Dec-08","Jan-09","Feb-09","Mar-09","Apr-09","May-09","TOTAL","demande moyenne","Niveau de service","Temps de Transport (jours)","Temps de proc√®s (jours)","D√©lai de livraison (jours)","P√©riodicit√© de commande (jours)","Stock de s√©curit√© (TN)","couverture (semaine)","Niveau de recompl√©tement (TN)","Stock d'alerte (TN)"
"5ml","Sunsilk shmp","  19.83\  Ç¨ ","  0.61\  Ç¨ ","  31.92\  Ç¨ ","  10.40\  Ç¨ ","  13.84\  Ç¨ ","  29.17\  Ç¨ ","  8.94\  Ç¨ ","  5.56\  Ç¨ ","  4.52\  Ç¨ ","  10.85\  Ç¨ ","  16.22\  Ç¨ ","- 6.30\  Ç¨ ","  145.56\  Ç¨ ","  12.13\  Ç¨ ","95%","1","0.5","2","3","5.76","1.90","8.79","  6.97\  Ç¨ "
"Bag 5 Kg","Matic","  0.67\  Ç¨ ","  4.40\  Ç¨ ","  28.95\  Ç¨ ","  17.99\  Ç¨ ","- 0.27\  Ç¨ ","  7.36\  Ç¨ ","  5.09\  Ç¨ ","  9.70\  Ç¨ ","  15.55\  Ç¨ ","  10.37\  Ç¨ ","  5.63\  Ç¨ ","  7.66\  Ç¨ ","  113.08\  Ç¨ ","  9.42\  Ç¨ ","95%","1","0.5","2","3","4.24","1.80","6.59","  5.18\  Ç¨ "
"10kg","Omo","  16.46\  Ç¨ ","  8.98\  Ç¨ ","  16.76\  Ç¨ ","  12.92\  Ç¨ ","  3.19\  Ç¨ ","  3.25\  Ç¨ ","  6.05\  Ç¨ ","  8.84\  Ç¨ ","  14.01\  Ç¨ ","  3.12\  Ç¨ ","  11.69\  Ç¨ ","  7.27\  Ç¨ ","  112.54\  Ç¨ ","  9.38\  Ç¨ ","95%","1","0.5","2","3","2.60","1.11","4.95","  3.54\  Ç¨ "
"Box 3 Kg","Matic","  12.51\  Ç¨ ","  6.78\  Ç¨ ","  8.93\  Ç¨ ","  8.18\  Ç¨ ","  2.01\  Ç¨ ","  2.75\  Ç¨ ","  7.18\  Ç¨ ","  13.47\  Ç¨ ","  12.75\  Ç¨ ","  5.86\  Ç¨ ","  9.08\  Ç¨ ","  12.55\  Ç¨ ","  102.03\  Ç¨ ","  8.50\  Ç¨ ","95%","1","0.5","2","3","2.00","0.94","4.13","  2.85\  Ç¨ "
"5ml","Clearshmp","  4.99\  Ç¨ ","  4.39\  Ç¨ ","  4.03\  Ç¨ ","  2.64\  Ç¨ ","  0.02\  Ç¨ ","  12.66\  Ç¨ ","  2.67\  Ç¨ ","  31.00\  Ç¨ ","  6.58\  Ç¨ ","  9.07\  Ç¨ ","  14.80\  Ç¨ ","  2.50\  Ç¨ ","  95.36\  Ç¨ ","  7.95\  Ç¨ ","95%","1","0.5","2","3","4.40","2.22","6.39","  5.20\  Ç¨ "
"Bag 3 Kg","Matic","  15.30\  Ç¨ ","  4.05\  Ç¨ ","  8.14\  Ç¨ ","  9.23\  Ç¨ ","- 3.24\  Ç¨ ","  7.70\  Ç¨ ","  3.19\  Ç¨ ","  5.64\  Ç¨ ","  9.66\  Ç¨ ","  9.68\  Ç¨ ","  3.46\  Ç¨ ","  1.82\  Ç¨ ","  74.63\  Ç¨ ","  6.22\  Ç¨ ","95%","1","0.5","2","3","2.49","1.60","4.04","  3.11\  Ç¨ "
"25ml","Signal","  0.04\  Ç¨ ","  4.15\  Ç¨ ","  7.37\  Ç¨ ","  0.26\  Ç¨ ","  18.72\  Ç¨ ","  3.13\  Ç¨ ","  10.15\  Ç¨ ","  10.06\  Ç¨ ","  4.16\  Ç¨ ","  2.53\  Ç¨ ","  9.91\  Ç¨ ","  4.13\  Ç¨ ","  74.61\  Ç¨ ","  6.22\  Ç¨ ","95%","1","0.5","2","7","2.77","1.78","5.57","  3.39\  Ç¨ "
"100ml","Sunsilk shmp","  0.66\  Ç¨ ","  7.74\  Ç¨ ","  1.15\  Ç¨ ","  29.73\  Ç¨ ","- 12.91\  Ç¨ ","  1.25\  Ç¨ ","  2.04\  Ç¨ ","  1.75\  Ç¨ ","  5.15\  Ç¨ ","  4.45\  Ç¨ ","  11.73\  Ç¨ ","  14.55\  Ç¨ ","  67.29\  Ç¨ ","  5.61\  Ç¨ ","95%","1","0.5","2","7","5.29","3.78","7.82","  5.85\  Ç¨ "
"50ml","Signal","  0.23\  Ç¨ ","  2.33\  Ç¨ ","  3.33\  Ç¨ ","  9.59\  Ç¨ ","  7.07\  Ç¨ ","  3.90\  Ç¨ ","  4.43\  Ç¨ ","  5.83\  Ç¨ ","  6.71\  Ç¨ ","  3.41\  Ç¨ ","  12.12\  Ç¨ ","  5.09\  Ç¨ ","  64.05\  Ç¨ ","  5.34\  Ç¨ ","95%","1","0.5","2","7","1.68","1.26","4.08","  2.22\  Ç¨ "
"S120g","Skiphs","  5.39\  Ç¨ ","  13.43\  Ç¨ ","  6.69\  Ç¨ ","  15.91\  Ç¨ ","- 8.69\  Ç¨ ","  6.26\  Ç¨ ","  3.51\  Ç¨ ","  5.70\  Ç¨ ","  5.90\  Ç¨ ","  4.27\  Ç¨ ","  2.05\  Ç¨ ","  0.20\  Ç¨ ","  60.61\  Ç¨ ","  5.05\  Ç¨ ","95%","1","0.5","2","7","3.20","2.54","5.48","  3.71\  Ç¨ "
