"","","","","","","","","","","","","","","","","","","","","","","","",""
"Famille","Brand","Jun-08","Jul-08","Aug-08","Sep-08","Oct-08","Nov-08","Dec-08","Jan-09","Feb-09","Mar-09","Apr-09","May-09","TOTAL","demande moyenne","Niveau de service","Temps de Transport (jours)","Temps de proc√®s (jours)","D√©lai de livraison (jours)","P√©riodicit√© de commande (jours)","Stock de s√©curit√© (TN)","couverture (semaine)","Niveau de recompl√©tement (TN)","Stock d'alerte (TN)"
"200ml","Dove shmp","  0.13\  Ç¨ ","  0.19\  Ç¨ ","  2.29\  Ç¨ ","- 0.27\  Ç¨ ","  1.35\  Ç¨ ","  1.49\  Ç¨ ","  0.73\  Ç¨ ","  1.45\  Ç¨ ","  0.88\  Ç¨ ","  0.79\  Ç¨ ","  0.88\  Ç¨ ","  0.71\  Ç¨ ","  10.61\  Ç¨ ","  0.88\  Ç¨ ","95%","1","0.5","2","15","0.36","1.64","1.11","  0.45\  Ç¨ "
"Flan","Flan","  0.34\  Ç¨ ","  1.95\  Ç¨ ","  4.41\  Ç¨ ","  3.02\  Ç¨ ","  0.17\  Ç¨ ","- 0.07\  Ç¨ ","  0.21\  Ç¨ ","  0.12\  Ç¨ ","  0.06\  Ç¨ ","  0.07\  Ç¨ ","  0.12\  Ç¨ ","  0.15\  Ç¨ ","  10.55\  Ç¨ ","  0.88\  Ç¨ ","95%","1","0.5","2","15","0.76","3.45","1.50","  0.85\  Ç¨ "
"250ml","Dove Crm","  0.03\  Ç¨ ","  1.76\  Ç¨ ","  0.04\  Ç¨ ","  1.57\  Ç¨ ","  1.13\  Ç¨ ","  0.94\  Ç¨ ","  0.73\  Ç¨ ","  0.18\  Ç¨ ","  1.20\  Ç¨ ","  0.85\  Ç¨ ","  1.19\  Ç¨ ","  0.90\  Ç¨ ","  10.53\  Ç¨ ","  0.88\  Ç¨ ","95%","1","0.5","2","15","0.29","1.33","1.04","  0.38\  Ç¨ "
"Big nose","F&L","- 0.00\  Ç¨ ","  1.29\  Ç¨ ","  0.65\  Ç¨ ","  0.17\  Ç¨ ","  0.49\  Ç¨ ","  0.04\  Ç¨ ","  0.92\  Ç¨ ","  0.85\  Ç¨ ","  3.06\  Ç¨ ","  0.82\  Ç¨ ","  1.29\  Ç¨ ","  0.33\  Ç¨ ","  9.91\  Ç¨ ","  0.83\  Ç¨ ","95%","1","0.5","2","15","0.43","2.09","1.13","  0.51\  Ç¨ "
"100 sachets","Lipton Noir","  0.69\  Ç¨ ","  0.08\  Ç¨ ","  0.74\  Ç¨ ","  0.27\  Ç¨ ","  0.27\  Ç¨ ","  0.70\  Ç¨ ","  0.78\  Ç¨ ","  1.55\  Ç¨ ","  0.20\  Ç¨ ","  0.56\  Ç¨ ","  0.05\  Ç¨ ","  2.98\  Ç¨ ","  8.87\  Ç¨ ","  0.74\  Ç¨ ","95%","1","0.5","2","15","0.43","2.31","1.05","  0.50\  Ç¨ "
"5ml","Dove shmp","  0.05\  Ç¨ ","  0.02\  Ç¨ ","  2.71\  Ç¨ ","- 0.22\  Ç¨ ","  1.55\  Ç¨ ","  1.78\  Ç¨ ","  1.43\  Ç¨ ","  1.66\  Ç¨ ","  0.25\  Ç¨ ","- 1.36\  Ç¨ ","  0.12\  Ç¨ ","- 0.49\  Ç¨ ","  7.50\  Ç¨ ","  0.63\  Ç¨ ","95%","1","0.5","2","15","0.61","3.92","1.14","  0.67\  Ç¨ "
"25grs","F&L","  0.07\  Ç¨ ","- 0.00\  Ç¨ ","- 0.01\  Ç¨ ","  0.28\  Ç¨ ","  1.01\  Ç¨ ","  0.29\  Ç¨ ","  2.26\  Ç¨ ","- 0.51\  Ç¨ ","  0.77\  Ç¨ ","  1.28\  Ç¨ ","  0.45\  Ç¨ ","  0.72\  Ç¨ ","  6.60\  Ç¨ ","  0.55\  Ç¨ ","95%","1","0.5","2","15","0.38","2.76","0.85","  0.43\  Ç¨ "
"S215g","Skiphs","  0.43\  Ç¨ ","  1.87\  Ç¨ ","  0.05\  Ç¨ ","  0.05\  Ç¨ ","","- 0.02\  Ç¨ ","","","  2.85\  Ç¨ ","  0.14\  Ç¨ ","  0.03\  Ç¨ ","  0.01\  Ç¨ ","  5.41\  Ç¨ ","  0.60\  Ç¨ ","95%","1","0.5","2","15","0.54","3.58","1.05","  0.60\  Ç¨ "
"25 Sachets","Lipton Noir","  0.90\  Ç¨ ","  0.19\  Ç¨ ","  0.84\  Ç¨ ","  0.70\  Ç¨ ","  0.53\  Ç¨ ","  0.73\  Ç¨ ","  1.22\  Ç¨ ","","","","","","  5.11\  Ç¨ ","  0.73\  Ç¨ ","95%","1","0.5","2","15","0.17","0.91","0.79","  0.24\  Ç¨ "
"50grs","Dove deo","  0.10\  Ç¨ ","  0.67\  Ç¨ ","  0.23\  Ç¨ ","  0.17\  Ç¨ ","  0.47\  Ç¨ ","  0.70\  Ç¨ ","  0.26\  Ç¨ ","  0.16\  Ç¨ ","  0.14\  Ç¨ ","  0.27\  Ç¨ ","  0.44\  Ç¨ ","  0.24\  Ç¨ ","  3.86\  Ç¨ ","  0.32\  Ç¨ ","95%","1","0.5","2","15","0.11","1.32","0.38","  0.14\  Ç¨ "
"75grs","Lifebuoys","","  2.99\  Ç¨ ","  0.09\  Ç¨ ","- 0.82\  Ç¨ ","  0.24\  Ç¨ ","  0.33\  Ç¨ ","  0.26\  Ç¨ ","  0.13\  Ç¨ ","  0.19\  Ç¨ ","  0.05\  Ç¨ ","  0.09\  Ç¨ ","  0.18\  Ç¨ ","  3.72\  Ç¨ ","  0.34\  Ç¨ ","95%","1","0.5","2","15","0.48","5.73","0.77","  0.52\  Ç¨ "
"250ml","Rexona","","  0.67\  Ç¨ ","  0.11\  Ç¨ ","  0.01\  Ç¨ ","- 0.03\  Ç¨ ","- 0.01\  Ç¨ ","  0.33\  Ç¨ ","  1.22\  Ç¨ ","  0.08\  Ç¨ ","  0.19\  Ç¨ ","  0.12\  Ç¨ ","  0.52\  Ç¨ ","  3.21\  Ç¨ ","  0.29\  Ç¨ ","95%","1","0.5","2","15","0.20","2.72","0.45","  0.23\  Ç¨ "
"Mousse","Etoui","  0.41\  Ç¨ ","  0.40\  Ç¨ ","  1.16\  Ç¨ ","- 0.78\  Ç¨ ","  0.15\  Ç¨ ","- 0.10\  Ç¨ ","  0.30\  Ç¨ ","  0.69\  Ç¨ ","  0.13\  Ç¨ ","  0.33\  Ç¨ ","  0.31\  Ç¨ ","  0.08\  Ç¨ ","  3.07\  Ç¨ ","  0.26\  Ç¨ ","95%","1","0.5","2","15","0.24","3.73","0.46","  0.26\  Ç¨ "
"175ml","Rexona","  0.01\  Ç¨ ","  0.45\  Ç¨ ","  0.03\  Ç¨ ","- 0.19\  Ç¨ ","  0.30\  Ç¨ ","  0.59\  Ç¨ ","  0.22\  Ç¨ ","  0.19\  Ç¨ ","  0.22\  Ç¨ ","  0.36\  Ç¨ ","  0.26\  Ç¨ ","  0.38\  Ç¨ ","  2.83\  Ç¨ ","  0.24\  Ç¨ ","95%","1","0.5","2","15","0.11","1.87","0.31","  0.13\  Ç¨ "
"450 grs","Maizena","  0.18\  Ç¨ ","  0.20\  Ç¨ ","  1.51\  Ç¨ ","- 0.56\  Ç¨ ","  0.22\  Ç¨ ","- 0.51\  Ç¨ ","  0.08\  Ç¨ ","  0.47\  Ç¨ ","  0.14\  Ç¨ ","  0.24\  Ç¨ ","  0.29\  Ç¨ ","  0.55\  Ç¨ ","  2.80\  Ç¨ ","  0.23\  Ç¨ ","95%","1","0.5","2","15","0.27","4.65","0.47","  0.30\  Ç¨ "
"120ml","Sunsilk creme","","","","","  0.02\  Ç¨ ","  0.26\  Ç¨ ","  0.36\  Ç¨ ","  0.28\  Ç¨ ","  0.31\  Ç¨ ","  0.38\  Ç¨ ","  0.39\  Ç¨ ","  0.44\  Ç¨ ","  2.44\  Ç¨ ","  0.31\  Ç¨ ","95%","1","0.5","2","15","0.07","0.88","0.33","  0.10\  Ç¨ "
"400ml","Clearshmp","- 0.01\  Ç¨ ","  0.08\  Ç¨ ","  0.00\  Ç¨ ","  0.37\  Ç¨ ","  0.05\  Ç¨ ","  0.18\  Ç¨ ","  0.12\  Ç¨ ","  0.04\  Ç¨ ","  0.10\  Ç¨ ","  0.27\  Ç¨ ","  0.60\  Ç¨ ","  0.64\  Ç¨ ","  2.43\  Ç¨ ","  0.20\  Ç¨ ","95%","1","0.5","2","15","0.12","2.30","0.29","  0.14\  Ç¨ "
"250ml","Dove gel","  0.05\  Ç¨ ","  0.07\  Ç¨ ","  1.26\  Ç¨ ","- 0.85\  Ç¨ ","  0.24\  Ç¨ ","  0.17\  Ç¨ ","  0.17\  Ç¨ ","  0.19\  Ç¨ ","  0.14\  Ç¨ ","  0.29\  Ç¨ ","  0.22\  Ç¨ ","  0.29\  Ç¨ ","  2.24\  Ç¨ ","  0.19\  Ç¨ ","95%","1","0.5","2","15","0.24","5.07","0.40","  0.26\  Ç¨ "
"Sucre Aromatis√©","Sucre Aromatis√©","  0.03\  Ç¨ ","  0.12\  Ç¨ ","  0.51\  Ç¨ ","  0.21\  Ç¨ ","  0.11\  Ç¨ ","  0.07\  Ç¨ ","  0.09\  Ç¨ ","  0.10\  Ç¨ ","  0.35\  Ç¨ ","  0.28\  Ç¨ ","  0.09\  Ç¨ ","  0.18\  Ç¨ ","  2.14\  Ç¨ ","  0.18\  Ç¨ ","95%","1","0.5","2","15","0.07","1.63","0.22","  0.09\  Ç¨ "
"Potage","Soupe","  0.09\  Ç¨ ","  0.08\  Ç¨ ","  0.30\  Ç¨ ","  0.03\  Ç¨ ","  0.13\  Ç¨ ","  0.28\  Ç¨ ","  0.20\  Ç¨ ","  0.22\  Ç¨ ","  0.24\  Ç¨ ","  0.17\  Ç¨ ","  0.17\  Ç¨ ","  0.15\  Ç¨ ","  2.06\  Ç¨ ","  0.17\  Ç¨ ","95%","1","0.5","2","15","0.04","0.98","0.19","  0.06\  Ç¨ "
"500ml","Dove gel","","","","  0.98\  Ç¨ ","- 0.67\  Ç¨ ","  0.79\  Ç¨ ","  0.27\  Ç¨ ","  0.29\  Ç¨ ","  0.16\  Ç¨ ","  0.05\  Ç¨ ","  0.00\  Ç¨ ","  0.06\  Ç¨ ","  1.93\  Ç¨ ","  0.21\  Ç¨ ","95%","1","0.5","2","15","0.25","4.61","0.43","  0.27\  Ç¨ "
"180 cubes","SEAS","  0.25\  Ç¨ ","  0.73\  Ç¨ ","  0.75\  Ç¨ ","- 0.20\  Ç¨ ","  0.10\  Ç¨ ","  0.05\  Ç¨ ","  0.07\  Ç¨ ","  0.02\  Ç¨ ","- 0.00\  Ç¨ ","  0.01\  Ç¨ ","  0.01\  Ç¨ ","  0.00\  Ç¨ ","  1.78\  Ç¨ ","  0.15\  Ç¨ ","95%","1","0.5","2","15","0.15","4.12","0.28","  0.17\  Ç¨ "
"100ml","Sunsilk creme","  0.18\  Ç¨ ","  0.48\  Ç¨ ","- 0.00\  Ç¨ ","  0.28\  Ç¨ ","  0.20\  Ç¨ ","  0.42\  Ç¨ ","  0.00\  Ç¨ ","  0.01\  Ç¨ ","  0.01\  Ç¨ ","","","","  1.57\  Ç¨ ","  0.17\  Ç¨ ","95%","1","0.5","2","15","0.10","2.23","0.25","  0.11\  Ç¨ "
"75ml","Signal","  0.07\  Ç¨ ","  0.22\  Ç¨ ","  0.02\  Ç¨ ","- 0.02\  Ç¨ ","  0.15\  Ç¨ ","  0.10\  Ç¨ ","  0.11\  Ç¨ ","  0.08\  Ç¨ ","  0.05\  Ç¨ ","  0.16\  Ç¨ ","  0.28\  Ç¨ ","  0.21\  Ç¨ ","  1.43\  Ç¨ ","  0.12\  Ç¨ ","95%","1","0.5","2","15","0.05","1.55","0.15","  0.06\  Ç¨ "
"169ml","Dove deo","- 0.00\  Ç¨ ","  0.01\  Ç¨ ","  0.18\  Ç¨ ","- 0.02\  Ç¨ ","  0.10\  Ç¨ ","  0.17\  Ç¨ ","  0.09\  Ç¨ ","  0.07\  Ç¨ ","  0.10\  Ç¨ ","  0.12\  Ç¨ ","  0.15\  Ç¨ ","  0.15\  Ç¨ ","  1.11\  Ç¨ ","  0.09\  Ç¨ ","95%","1","0.5","2","15","0.03","1.49","0.11","  0.04\  Ç¨ "
"Energise","Dove Crm","  0.06\  Ç¨ ","  0.14\  Ç¨ ","  0.08\  Ç¨ ","- 0.18\  Ç¨ ","  0.07\  Ç¨ ","  0.42\  Ç¨ ","  0.05\  Ç¨ ","  0.06\  Ç¨ ","  0.04\  Ç¨ ","  0.09\  Ç¨ ","  0.09\  Ç¨ ","  0.15\  Ç¨ ","  1.09\  Ç¨ ","  0.09\  Ç¨ ","95%","1","0.5","2","15","0.07","3.01","0.15","  0.08\  Ç¨ "
"12L","Bouillon","- 0.00\  Ç¨ ","  0.02\  Ç¨ ","  0.09\  Ç¨ ","  0.07\  Ç¨ ","  0.19\  Ç¨ ","","0","  0.00\  Ç¨ ","","","  0.31\  Ç¨ ","  0.14\  Ç¨ ","  0.81\  Ç¨ ","  0.09\  Ç¨ ","95%","1","0.5","2","15","0.06","2.46","0.13","  0.06\  Ç¨ "
"50ml","Dove deo","  0.06\  Ç¨ ","  0.08\  Ç¨ ","  0.09\  Ç¨ ","- 0.16\  Ç¨ ","  0.04\  Ç¨ ","  0.23\  Ç¨ ","  0.08\  Ç¨ ","  0.05\  Ç¨ ","  0.04\  Ç¨ ","  0.06\  Ç¨ ","  0.04\  Ç¨ ","  0.06\  Ç¨ ","  0.68\  Ç¨ ","  0.06\  Ç¨ ","95%","1","0.5","2","15","0.04","3.16","0.09","  0.05\  Ç¨ "
"50ml","Rexona","  0.07\  Ç¨ ","  0.11\  Ç¨ ","  0.04\  Ç¨ ","- 0.05\  Ç¨ ","  0.02\  Ç¨ ","  0.15\  Ç¨ ","  0.03\  Ç¨ ","  0.03\  Ç¨ ","  0.02\  Ç¨ ","  0.04\  Ç¨ ","  0.04\  Ç¨ ","  0.05\  Ç¨ ","  0.55\  Ç¨ ","  0.05\  Ç¨ ","95%","1","0.5","2","15","0.03","2.21","0.06","  0.03\  Ç¨ "
"100ml","Signal","- 0.06\  Ç¨ ","  0.18\  Ç¨ ","- 0.00\  Ç¨ ","  0.05\  Ç¨ ","  0.03\  Ç¨ ","  0.00\  Ç¨ ","  0.01\  Ç¨ ","  0.04\  Ç¨ ","  0.04\  Ç¨ ","  0.08\  Ç¨ ","  0.06\  Ç¨ ","  0.09\  Ç¨ ","  0.52\  Ç¨ ","  0.04\  Ç¨ ","95%","1","0.5","2","15","0.03","2.88","0.07","  0.04\  Ç¨ "
"Harira","Soupe","  0.01\  Ç¨ ","- 0.02\  Ç¨ ","  0.14\  Ç¨ ","  0.38\  Ç¨ ","  0.02\  Ç¨ ","- 0.18\  Ç¨ ","  0.10\  Ç¨ ","  0.02\  Ç¨ ","  0.02\  Ç¨ ","","  0.00\  Ç¨ ","  0.01\  Ç¨ ","  0.49\  Ç¨ ","  0.04\  Ç¨ ","95%","1","0.5","2","15","0.07","6.36","0.11","  0.08\  Ç¨ "
"400ml","Dove shmp","","","","","","  0.10\  Ç¨ ","  0.05\  Ç¨ ","  0.08\  Ç¨ ","  0.01\  Ç¨ ","  0.01\  Ç¨ ","","  0.16\  Ç¨ ","  0.40\  Ç¨ ","  0.07\  Ç¨ ","95%","1","0.5","2","15","0.03","1.80","0.09","  0.04\  Ç¨ "
"400ml","Sunsilk shmp","","- 0.04\  Ç¨ ","  1.39\  Ç¨ ","- 1.17\  Ç¨ ","- 0.01\  Ç¨ ","  0.17\  Ç¨ ","- 0.08\  Ç¨ ","  0.01\  Ç¨ ","  0.02\  Ç¨ ","  0.01\  Ç¨ ","0","  0.02\  Ç¨ ","  0.34\  Ç¨ ","  0.03\  Ç¨ ","95%","1","0.5","2","15","0.30","39.01","0.33","  0.30\  Ç¨ "
"Freshtouch","Dove Crm","- 0.01\  Ç¨ ","- 0.01\  Ç¨ ","  0.04\  Ç¨ ","- 0.01\  Ç¨ ","  0.02\  Ç¨ ","  0.01\  Ç¨ ","  0.03\  Ç¨ ","  0.03\  Ç¨ ","  0.02\  Ç¨ ","  0.06\  Ç¨ ","  0.02\  Ç¨ ","  0.11\  Ç¨ ","  0.32\  Ç¨ ","  0.03\  Ç¨ ","95%","1","0.5","2","15","0.02","2.63","0.04","  0.02\  Ç¨ "
"200ml","Sunsilk creme","","","","","","  0.02\  Ç¨ ","  0.02\  Ç¨ ","  0.01\  Ç¨ ","  0.03\  Ç¨ ","  0.00\  Ç¨ ","  0.01\  Ç¨ ","  0.01\  Ç¨ ","  0.08\  Ç¨ ","  0.01\  Ç¨ ","95%","1","0.5","2","15","0.00","1.56","0.01","  0.01\  Ç¨ "
"30ml","Dove Crm","- 0.00\  Ç¨ ","- 0.10\  Ç¨ ","  0.10\  Ç¨ ","- 0.09\  Ç¨ ","  0.01\  Ç¨ ","  0.02\  Ç¨ ","  0.02\  Ç¨ ","  0.01\  Ç¨ ","  0.01\  Ç¨ ","  0.01\  Ç¨ ","  0.01\  Ç¨ ","  0.03\  Ç¨ ","  0.01\  Ç¨ ","  0.00\  Ç¨ ","95%","1","0.5","2","15","0.03","101.82","0.03","  0.03\  Ç¨ "
"175ml","Dove deo","  0.00\  Ç¨ ","- 0.09\  Ç¨ ","  0.09\  Ç¨ ","- 0.09\  Ç¨ ","  0.00\  Ç¨ ","  0.00\  Ç¨ ","  0.00\  Ç¨ ","  0.00\  Ç¨ ","  0.08\  Ç¨ ","- 0.08\  Ç¨ ","0","  0.00\  Ç¨ ","- 0.07\  Ç¨ ","- 0.01\  Ç¨ ","95%","1","0.5","2","15","0.03","-21.80","0.03","  0.03\  Ç¨ "
"300ml","Sunsilk creme","0","- 0.13\  Ç¨ ","  0.12\  Ç¨ ","- 0.12\  Ç¨ ","0","0","  0.00\  Ç¨ ","  0.01\  Ç¨ ","  0.03\  Ç¨ ","  0.00\  Ç¨ ","  0.01\  Ç¨ ","  0.01\  Ç¨ ","- 0.08\  Ç¨ ","- 0.01\  Ç¨ ","95%","1","0.5","2","15","0.03","-19.02","0.03","  0.03\  Ç¨ "
"30*6 sachets","SEAS","","","- 0.00\  Ç¨ ","- 0.04\  Ç¨ ","  0.02\  Ç¨ ","- 0.39\  Ç¨ ","","0","","","","- 0.17\  Ç¨ ","- 0.59\  Ç¨ ","- 0.10\  Ç¨ ","95%","1","0.5","2","15","0.08","-3.41","0.00","  0.07\  Ç¨ "
